min_year,max_year,mean_abs_error,median_abs_error,vehicle_count,support_level
2025,2025,119.37333333333333,119.37333333333333,1,low_support
2026,2026,88.26333333333332,88.26333333333332,1,low_support
2016,2017,63.824999999999996,63.824999999999996,2,reliable
2025,2025,61.5,61.5,1,low_support
2017,2019,51.75,57.41333333333333,3,reliable
2026,2026,53.60000000000002,53.60000000000002,1,low_support
2020,2020,53.47666666666669,53.47666666666669,1,low_support
2021,2021,52.34,52.34,1,low_support
2025,2025,52.05666666666667,52.05666666666667,1,low_support
2023,2023,51.360000000000014,51.360000000000014,1,low_support
2022,2022,51.26666666666665,51.26666666666665,1,low_support
2025,2025,51.093333333333334,51.093333333333334,1,low_support
2025,2025,47.91,47.91,1,low_support
2022,2022,47.373333333333335,47.373333333333335,1,low_support
2024,2025,46.64833333333331,46.64833333333331,2,reliable
2026,2026,46.27666666666667,46.27666666666667,1,low_support
2025,2025,44.69666666666666,44.69666666666666,1,low_support
2025,2025,43.59,43.59,1,low_support
2021,2021,43.31999999999999,43.31999999999999,1,low_support
2024,2024,40.19666666666666,40.19666666666666,1,low_support
2023,2023,39.96333333333334,39.96333333333334,1,low_support
2024,2025,39.69833333333335,39.69833333333335,2,reliable
2022,2022,39.30000000000001,39.30000000000001,1,low_support
2018,2018,39.04666666666668,39.04666666666668,1,low_support
2020,2020,36.99666666666667,36.99666666666667,1,low_support
2025,2025,36.613333333333344,36.613333333333344,1,low_support
2021,2021,36.379999999999995,36.379999999999995,1,low_support
2021,2023,39.88444444444443,35.50333333333333,3,reliable
2024,2025,34.36166666666668,34.36166666666668,2,reliable
2023,2023,33.69999999999999,33.69999999999999,1,low_support
2019,2020,33.66833333333335,33.66833333333335,2,reliable
2025,2025,33.25666666666666,33.25666666666666,1,low_support
2023,2023,32.97666666666666,32.97666666666666,1,low_support
2024,2024,32.95333333333332,32.95333333333332,1,low_support
2021,2021,31.389999999999986,31.389999999999986,1,low_support
2025,2025,31.03333333333333,31.03333333333333,1,low_support
2024,2024,29.94999999999999,29.94999999999999,1,low_support
2024,2024,29.613333333333344,29.613333333333344,1,low_support
2025,2025,29.21666666666664,29.21666666666664,1,low_support
2025,2025,29.113333333333344,29.113333333333344,1,low_support
2026,2026,28.930000000000007,28.930000000000007,1,low_support
2024,2024,28.54333333333335,28.54333333333335,1,low_support
2025,2025,28.22666666666666,28.22666666666666,1,low_support
2024,2024,25.693333333333328,25.693333333333328,1,low_support
2023,2024,25.47833333333334,25.47833333333334,2,reliable
2017,2017,24.376666666666665,24.376666666666665,1,low_support
2026,2026,24.156666666666695,24.156666666666695,1,low_support
2025,2025,23.693333333333328,23.693333333333328,1,low_support
2024,2024,23.480000000000018,23.480000000000018,1,low_support
2024,2024,23.333333333333314,23.333333333333314,1,low_support
2021,2022,22.72999999999999,22.72999999999999,2,reliable
2022,2022,22.616666666666674,22.616666666666674,1,low_support
2026,2026,22.50333333333333,22.50333333333333,1,low_support
2024,2024,21.29666666666668,21.29666666666668,1,low_support
2025,2025,21.230000000000018,21.230000000000018,1,low_support
2023,2023,21.19666666666666,21.19666666666666,1,low_support
2024,2025,21.155,21.155,2,reliable
2025,2025,20.689999999999998,20.689999999999998,1,low_support
2026,2026,20.623333333333335,20.623333333333335,1,low_support
2015,2016,19.98333333333332,19.98333333333332,2,reliable
2025,2025,19.94999999999999,19.94999999999999,1,low_support
2023,2023,19.789999999999992,19.789999999999992,1,low_support
2024,2024,19.54000000000002,19.54000000000002,1,low_support
2015,2016,19.36833333333334,19.36833333333334,2,reliable
2022,2022,19.350000000000023,19.350000000000023,1,low_support
2026,2026,19.063333333333333,19.063333333333333,1,low_support
2024,2024,18.629999999999995,18.629999999999995,1,low_support
2025,2025,18.563333333333333,18.563333333333333,1,low_support
2022,2022,18.139999999999986,18.139999999999986,1,low_support
2025,2025,18.136666666666656,18.136666666666656,1,low_support
2019,2019,17.943333333333328,17.943333333333328,1,low_support
2026,2026,17.866666666666674,17.866666666666674,1,low_support
2022,2022,17.663333333333355,17.663333333333355,1,low_support
2021,2021,17.606666666666655,17.606666666666655,1,low_support
2021,2021,17.49333333333334,17.49333333333334,1,low_support
2025,2025,16.423333333333346,16.423333333333346,1,low_support
2026,2026,16.143333333333317,16.143333333333317,1,low_support
2025,2025,15.97999999999999,15.97999999999999,1,low_support
2026,2026,15.910000000000025,15.910000000000025,1,low_support
2023,2024,15.873333333333335,15.873333333333335,2,reliable
2026,2026,15.833333333333314,15.833333333333314,1,low_support
2020,2020,15.71666666666664,15.71666666666664,1,low_support
2023,2023,15.47333333333333,15.47333333333333,1,low_support
2024,2024,15.363333333333344,15.363333333333344,1,low_support
2024,2025,15.300000000000011,15.300000000000011,2,reliable
2026,2026,15.009999999999991,15.009999999999991,1,low_support
2025,2025,14.97333333333333,14.97333333333333,1,low_support
2025,2025,14.850000000000023,14.850000000000023,1,low_support
2025,2025,14.306666666666672,14.306666666666672,1,low_support
2020,2020,14.050000000000011,14.050000000000011,1,low_support
2024,2024,14.02666666666667,14.02666666666667,1,low_support
2021,2024,13.933333333333351,13.933333333333351,2,reliable
