make,model,year,predicted_range_miles
Lucid,Air G Touring XR AWD with 20 inch wheels,2023,467.74333333333334
Lucid,Air G Touring AWD w/21 inch wheels,2022,464.3466666666667
Lucid,Air G Touring XR AWD with 21 inch wheels,2024,451.68
Lucid,Air G Touring XR AWD with 21 inch wheels,2025,445.77666666666664
Lucid,Air G Touring XR AWD with 21 inch wheels,2026,445.28
Lucid,Air Touring AWD with 19 inch wheels,2026,439.89
Chevrolet,Silverado EV 5WT (11 kW Charger),2025,422.5366666666667
Lucid,Air Pure AWD with 19 inch wheels,2023,413.33
Tesla,Model S,2025,410.4433333333333
Chevrolet,Silverado EV (11 kW Charger),2025,408.35
Lucid,Gravity GT w/22F23R wheels (2R),2025,407.26
Rivian,R1S Dual Max (21in),2024,401.72
Lucid,Air Touring AWD with 20 inch wheels,2026,393.64666666666665
Chevrolet,Silverado EV (19 kW Charger),2025,390.96666666666664
Rivian,R1T Dual Max (22in),2024,380.05333333333334
Rivian,R1T Performance Dual Max (22in),2024,380.05333333333334
Rivian,R1S Dual Max (20in),2026,380.04
Lucid,Gravity Dream w/21F22R wheels (3R),2026,376.59
Tesla,Model S Long Range,2019,370.02
Rivian,R1T All-Terrain Performance Dual Max (20in),2025,370.00333333333333
